Homestead Base,Florida,1212.000000,823.000000
Naranja,Florida,1211.000000,823.000000
Princeton,Florida,1211.000000,822.000000
Goulds,Florida,1212.000000,821.000000
Cutler Bay,Florida,1213.000000,821.000000
South Miami Heights,Florida,1212.000000,820.000000
West Perrine,Florida,1212.000000,820.000000
Richmond West,Florida,1211.000000,819.000000
Palmetto Estates,Florida,1212.000000,819.000000
Palmetto Bay,Florida,1214.000000,819.000000
Country Walk,Florida,1210.000000,819.000000
Richmond Heights,Florida,1212.000000,819.000000
Three Lakes,Florida,1211.000000,818.000000
Pinecrest,Florida,1214.000000,818.000000
The Hammocks,Florida,1210.000000,817.000000
Kendall,Florida,1213.000000,817.000000
The Crossings,Florida,1211.000000,817.000000
Key Biscayne,Florida,1218.000000,817.000000
Coral Gables,Florida,1215.000000,816.000000
Sunset,Florida,1213.000000,816.000000
Kendall West,Florida,1210.000000,816.000000
Kendale Lakes,Florida,1211.000000,816.000000
South Miami,Florida,1214.000000,816.000000
Glenvar Heights,Florida,1214.000000,816.000000
Westwood Lakes,Florida,1212.000000,816.000000
Olympia Heights,Florida,1213.000000,816.000000
Coral Terrace,Florida,1214.000000,815.000000
University Park,Florida,1212.000000,815.000000
Westchester,Florida,1213.000000,815.000000
Tamiami,Florida,1211.000000,815.000000
West Miami,Florida,1214.000000,814.000000
Fisher Island,Florida,1218.000000,814.000000
Fountainebleau,Florida,1213.000000,814.000000
Sweetwater,Florida,1212.000000,814.000000
Miami,Florida,1217.000000,814.000000
Virginia Gardens,Florida,1214.000000,813.000000
Chokoloskee,Florida,1185.000000,813.000000
Doral,Florida,1213.000000,813.000000
Miami Beach,Florida,1218.000000,812.000000
Miami Springs,Florida,1214.000000,812.000000
Brownsville,Florida,1216.000000,812.000000
Gladeview,Florida,1216.000000,812.000000
Plantation Island,Florida,1185.000000,812.000000
North Bay Village,Florida,1218.000000,811.000000
El Portal,Florida,1217.000000,811.000000
Everglades,Florida,1184.000000,811.000000
West Little River,Florida,1216.000000,811.000000
Medley,Florida,1213.000000,811.000000
Miami Shores,Florida,1217.000000,811.000000
Hialeah,Florida,1214.000000,811.000000
Pinewood,Florida,1216.000000,811.000000
Indian Creek,Florida,1219.000000,810.000000
Surfside,Florida,1219.000000,810.000000
South Point,Texas,761.000000,810.000000
Biscayne Park,Florida,1217.000000,810.000000
Westview,Florida,1216.000000,810.000000
Hialeah Gardens,Florida,1213.000000,810.000000
Bay Harbor Islands,Florida,1219.000000,810.000000
Villa Pancho,Texas,760.000000,810.000000
Bal Harbour,Florida,1219.000000,810.000000
Opa-locka,Florida,1215.000000,810.000000
North Miami,Florida,1218.000000,810.000000
Miami Lakes,Florida,1213.000000,809.000000
Golden Glades,Florida,1217.000000,809.000000
Goodland,Florida,1177.000000,809.000000
Reid Hope King,Texas,760.000000,809.000000
North Miami Beach,Florida,1218.000000,809.000000
Marco Island,Florida,1176.000000,809.000000
Palm Springs North,Florida,1213.000000,809.000000
Sunny Isles Beach,Florida,1219.000000,808.000000
Country Club,Florida,1214.000000,808.000000
Miami Gardens,Florida,1216.000000,808.000000
Ojus,Florida,1218.000000,808.000000
Aventura,Florida,1219.000000,808.000000
Ives Estates,Florida,1217.000000,808.000000
Golden Beach,Florida,1219.000000,807.000000
Cameron Park,Texas,759.000000,807.000000
Miramar,Florida,1213.000000,807.000000
West Park,Florida,1217.000000,807.000000
Pembroke Park,Florida,1217.000000,807.000000
Hallandale Beach,Florida,1218.000000,807.000000
San Pedro,Texas,756.000000,807.000000
Brownsville,Texas,759.000000,806.000000
Pembroke Pines,Florida,1213.000000,806.000000
Olmito,Texas,757.000000,805.000000
Hollywood,Florida,1218.000000,805.000000
Encantada-Ranchito-El Calaboz,Texas,754.000000,805.000000
Rancho Viejo,Texas,756.000000,805.000000
Cooper City,Florida,1214.000000,805.000000
Southwest Ranches,Florida,1212.000000,805.000000
Los Indios,Texas,752.000000,805.000000
La Paloma,Texas,754.000000,804.000000
Dania Beach,Florida,1218.000000,804.000000
Port Isabel,Texas,765.000000,804.000000
Del Mar Heights,Texas,760.000000,804.000000
Progreso Lakes,Texas,745.000000,804.000000
Bluetown,Texas,749.000000,804.000000
Iglesia Antigua,Texas,749.000000,804.000000
Davie,Florida,1214.000000,804.000000
Santa Maria,Texas,748.000000,804.000000
Chula Vista,Texas,760.000000,804.000000
Orason,Texas,759.000000,804.000000
Los Fresnos,Texas,758.000000,804.000000
Verona Walk,Florida,1176.000000,803.000000
Relampago,Texas,747.000000,803.000000
Lely Resort,Florida,1176.000000,803.000000
Naples Manor,Florida,1175.000000,803.000000
Laguna Heights,Texas,765.000000,803.000000
Lago,Texas,755.000000,803.000000
Indian Lake,Texas,758.000000,803.000000
Progreso,Texas,745.000000,803.000000
Broadview Park,Florida,1217.000000,803.000000
Weston,Florida,1211.000000,803.000000
Lely,Florida,1175.000000,803.000000
Rangerville,Texas,751.000000,803.000000
Hidalgo,Texas,738.000000,803.000000
Laguna Vista,Texas,764.000000,802.000000
El Camino Angosto,Texas,754.000000,802.000000
Laureles,Texas,758.000000,802.000000
Boulevard Gardens,Florida,1217.000000,802.000000
Plantation,Florida,1215.000000,802.000000
Green Valley Farms,Texas,756.000000,802.000000
Washington Park,Florida,1217.000000,802.000000
South Padre Island,Texas,767.000000,802.000000
