Homestead Base,Florida,25.4936,-80.3911,1212.000000,823.000000
Naranja,Florida,25.5164,-80.4221,1211.000000,823.000000
Princeton,Florida,25.5396,-80.3971,1211.000000,822.000000
Goulds,Florida,25.5614,-80.388,1212.000000,821.000000
Cutler Bay,Florida,25.5765,-80.3356,1213.000000,821.000000
South Miami Heights,Florida,25.5886,-80.3862,1212.000000,820.000000
West Perrine,Florida,25.6061,-80.3639,1212.000000,820.000000
Richmond West,Florida,25.6105,-80.4297,1211.000000,819.000000
Palmetto Estates,Florida,25.6211,-80.3616,1212.000000,819.000000
Palmetto Bay,Florida,25.622,-80.3221,1214.000000,819.000000
Country Walk,Florida,25.6331,-80.4353,1210.000000,819.000000
Richmond Heights,Florida,25.6347,-80.372,1212.000000,819.000000
Three Lakes,Florida,25.6415,-80.4,1211.000000,818.000000
Pinecrest,Florida,25.665,-80.3042,1214.000000,818.000000
The Hammocks,Florida,25.67,-80.4483,1210.000000,817.000000
Kendall,Florida,25.6697,-80.3556,1213.000000,817.000000
The Crossings,Florida,25.6708,-80.4018,1211.000000,817.000000
Key Biscayne,Florida,25.6908,-80.1653,1218.000000,817.000000
Coral Gables,Florida,25.7037,-80.2715,1215.000000,816.000000
Sunset,Florida,25.7061,-80.353,1213.000000,816.000000
Kendall West,Florida,25.7065,-80.4388,1210.000000,816.000000
Kendale Lakes,Florida,25.7081,-80.4078,1211.000000,816.000000
South Miami,Florida,25.7079,-80.2952,1214.000000,816.000000
Glenvar Heights,Florida,25.709,-80.3156,1214.000000,816.000000
Westwood Lakes,Florida,25.7237,-80.3717,1212.000000,816.000000
Olympia Heights,Florida,25.7241,-80.339,1213.000000,816.000000
Coral Terrace,Florida,25.7464,-80.3049,1214.000000,815.000000
University Park,Florida,25.7469,-80.3684,1212.000000,815.000000
Westchester,Florida,25.7474,-80.3358,1213.000000,815.000000
Tamiami,Florida,25.7556,-80.4016,1211.000000,815.000000
West Miami,Florida,25.7578,-80.2969,1214.000000,814.000000
Fisher Island,Florida,25.7607,-80.1415,1219.000000,814.000000
Fountainebleau,Florida,25.7723,-80.3458,1213.000000,814.000000
Sweetwater,Florida,25.7786,-80.376,1212.000000,814.000000
Miami,Florida,25.7839,-80.2102,1217.000000,814.000000
Virginia Gardens,Florida,25.8095,-80.2974,1214.000000,813.000000
Chokoloskee,Florida,25.8146,-81.3603,1185.000000,813.000000
Doral,Florida,25.8151,-80.3565,1213.000000,813.000000
Miami Beach,Florida,25.8171,-80.1396,1219.000000,812.000000
Miami Springs,Florida,25.8195,-80.2894,1214.000000,812.000000
Brownsville,Florida,25.8216,-80.2417,1216.000000,812.000000
Gladeview,Florida,25.8395,-80.2368,1216.000000,812.000000
Plantation Island,Florida,25.8475,-81.3754,1184.000000,812.000000
North Bay Village,Florida,25.8487,-80.1535,1218.000000,811.000000
El Portal,Florida,25.8556,-80.1954,1217.000000,811.000000
Everglades,Florida,25.8579,-81.3862,1184.000000,811.000000
West Little River,Florida,25.857,-80.2367,1216.000000,811.000000
Medley,Florida,25.8646,-80.3516,1213.000000,811.000000
Miami Shores,Florida,25.867,-80.1779,1218.000000,811.000000
Hialeah,Florida,25.8696,-80.3046,1214.000000,811.000000
Pinewood,Florida,25.8697,-80.2174,1216.000000,811.000000
Indian Creek,Florida,25.8783,-80.137,1219.000000,810.000000
Surfside,Florida,25.8787,-80.125,1219.000000,810.000000
South Point,Texas,25.873,-97.383,762.000000,810.000000
Biscayne Park,Florida,25.8817,-80.1813,1217.000000,810.000000
Westview,Florida,25.8826,-80.2415,1216.000000,810.000000
Hialeah Gardens,Florida,25.8878,-80.3569,1213.000000,810.000000
Bay Harbor Islands,Florida,25.8878,-80.1335,1219.000000,810.000000
Villa Pancho,Texas,25.8842,-97.4154,761.000000,810.000000
Bal Harbour,Florida,25.8935,-80.1258,1219.000000,810.000000
Opa-locka,Florida,25.8997,-80.2551,1215.000000,810.000000
North Miami,Florida,25.9007,-80.1686,1218.000000,810.000000
Miami Lakes,Florida,25.9125,-80.3214,1214.000000,809.000000
Golden Glades,Florida,25.9129,-80.2013,1217.000000,809.000000
Goodland,Florida,25.9252,-81.648,1177.000000,809.000000
Reid Hope King,Texas,25.9228,-97.414,761.000000,809.000000
North Miami Beach,Florida,25.9302,-80.166,1218.000000,809.000000
Marco Island,Florida,25.933,-81.6993,1176.000000,809.000000
